               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  51,            0.029839,           0.0080478,                   0,             0.78421,             0.76369,             0.75068,             0.40634,            0.034996,           0.0058331,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.030113,           0.0077716,                   0,             0.77236,             0.78261,             0.77181,             0.40403,            0.034495,           0.0055466,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.030131,           0.0084681,                   0,             0.74113,             0.82987,             0.79456,             0.45501,            0.031627,           0.0048451,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.030074,           0.0080735,                   0,             0.79981,             0.83959,             0.82825,             0.43634,            0.031642,           0.0048509,                   0,            0.008251,            0.008251,            0.008251
                  55,             0.02935,           0.0081387,                   0,             0.78394,             0.84783,             0.82671,             0.47174,            0.032795,           0.0047989,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.028764,           0.0080801,                   0,             0.79901,             0.83543,             0.83336,             0.47101,            0.031998,           0.0047541,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.028572,           0.0078031,                   0,             0.81524,             0.82609,             0.84292,             0.47316,            0.033176,           0.0048766,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.029208,           0.0081504,                   0,             0.84265,             0.81492,             0.84649,              0.4514,            0.032329,           0.0046086,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.029237,           0.0075551,                   0,              0.8351,             0.86232,             0.86868,             0.46818,            0.032229,           0.0046163,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.028161,           0.0074919,                   0,             0.85672,              0.7971,             0.84735,             0.43774,            0.034777,           0.0050793,                   0,            0.008053,            0.008053,            0.008053
                  61,             0.02936,           0.0078749,                   0,             0.79355,             0.81159,             0.80215,             0.43728,            0.033237,           0.0048609,                   0,             0.00802,             0.00802,             0.00802
                  62,            0.028463,           0.0080779,                   0,             0.75717,             0.88122,             0.83348,             0.45733,            0.032915,           0.0046797,                   0,            0.007987,            0.007987,            0.007987
                  63,            0.028319,           0.0076951,                   0,             0.76706,             0.85903,             0.83922,             0.47358,            0.032733,           0.0047574,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.027861,            0.007403,                   0,             0.77534,             0.81159,             0.81255,              0.4341,            0.031834,           0.0046897,                   0,            0.007921,            0.007921,            0.007921
                  65,            0.028868,           0.0082672,                   0,              0.7919,             0.85483,             0.83065,               0.432,            0.032763,           0.0048647,                   0,            0.007888,            0.007888,            0.007888
                  66,            0.028402,           0.0077088,                   0,             0.81535,             0.84783,             0.84776,             0.46484,            0.030847,           0.0043116,                   0,            0.007855,            0.007855,            0.007855
                  67,            0.027503,           0.0076939,                   0,             0.76772,             0.84783,             0.83069,             0.44772,            0.031352,           0.0046811,                   0,            0.007822,            0.007822,            0.007822
                  68,            0.027622,           0.0075342,                   0,             0.76687,             0.90577,             0.85091,              0.4368,            0.032602,            0.004456,                   0,            0.007789,            0.007789,            0.007789
