                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                 1.0481,                0.22136,                 1.0429,                0.57472,                0.80435,                 0.7088,                0.38282,                 1.5202,                0.24618,                0.92103,               0.007789,               0.007789,               0.007789
                     69,                 1.0074,                0.21973,                 1.0228,                0.72584,                0.73913,                0.75754,                0.39297,                 1.5513,                0.22953,                0.89929,               0.007756,               0.007756,               0.007756
                     70,                 1.0255,                0.21608,                 1.0343,                0.66083,                0.71014,                0.72214,                0.38821,                 1.6316,                 0.2406,                0.92986,               0.007723,               0.007723,               0.007723
                     71,                  1.029,                0.21646,                 1.0444,                0.68674,                0.66667,                0.71718,                0.40063,                 1.5714,                0.23434,                0.94047,                0.00769,                0.00769,                0.00769
                     72,                  1.033,                0.22028,                 1.0389,                0.71073,                0.71739,                0.75644,                0.43545,                 1.4438,                0.22391,                0.92483,               0.007657,               0.007657,               0.007657
                     73,                 1.0089,                0.21374,                 1.0342,                0.71411,                0.74212,                0.77064,                0.42625,                 1.5035,                0.22152,                0.91919,               0.007624,               0.007624,               0.007624
                     74,                 1.0107,                0.21842,                  1.038,                0.72207,                0.67777,                0.73284,                 0.3998,                 1.5273,                0.22545,                0.92198,               0.007591,               0.007591,               0.007591
                     75,                 0.9896,                0.21422,                 1.0236,                0.63645,                0.76812,                 0.7439,                0.41809,                 1.4804,                0.21929,                0.91776,               0.007558,               0.007558,               0.007558
                     76,                   1.04,                0.21629,                 1.0295,                0.68751,                0.76525,                0.76411,                 0.4382,                 1.4347,                0.22843,                0.93474,               0.007525,               0.007525,               0.007525
                     77,                 1.0137,                0.21518,                  1.025,                0.67421,                 0.7648,                 0.7333,                0.37351,                 1.5523,                0.23903,                0.93175,               0.007492,               0.007492,               0.007492
                     78,                 1.0155,                0.21226,                 1.0282,                 0.6911,                0.74576,                0.76285,                0.43759,                 1.4749,                 0.2252,                0.90521,               0.007459,               0.007459,               0.007459
                     79,                 1.0217,                0.21417,                 1.0205,                0.66921,                0.72464,                0.70341,                0.40189,                 1.5118,                0.23959,                0.91794,               0.007426,               0.007426,               0.007426
                     80,                  1.001,                  0.215,                 1.0312,                0.70866,                0.72464,                0.73978,                0.41453,                 1.5565,                0.23063,                0.91665,               0.007393,               0.007393,               0.007393
                     81,                 1.0055,                0.21374,                 1.0352,                0.68125,                0.76087,                0.76922,                0.41924,                 1.4248,                0.22105,                0.89693,                0.00736,                0.00736,                0.00736
                     82,                 1.0615,                0.21915,                 1.0311,                0.78165,                 0.7029,                0.75518,                0.41869,                 1.5246,                0.23787,                0.92323,               0.007327,               0.007327,               0.007327
                     83,                 1.0247,                0.20942,                 1.0334,                 0.6753,                0.76087,                0.72101,                0.41635,                 1.4653,                 0.2319,                 0.9007,               0.007294,               0.007294,               0.007294
                     84,                0.98893,                0.19894,                 1.0206,                0.68082,                0.73188,                0.75906,                0.43796,                 1.4232,                0.22548,                 0.9006,               0.007261,               0.007261,               0.007261
                     85,                0.97856,                0.20621,                 1.0223,                0.67629,                 0.7971,                0.76444,                 0.4508,                 1.4376,                0.20935,                 0.9149,               0.007228,               0.007228,               0.007228
                     86,                0.96838,                0.20169,                 1.0075,                0.79071,                0.73918,                0.77497,                0.43698,                 1.5221,                0.22173,                0.93077,               0.007195,               0.007195,               0.007195
                     87,                 1.0086,                0.20627,                 1.0094,                0.69484,                 0.7029,                0.72236,                0.40158,                 1.4929,                0.23881,                0.91048,               0.007162,               0.007162,               0.007162
                     88,                0.98325,                0.21337,                 1.0204,                 0.7797,                0.66683,                 0.7591,                0.43021,                 1.4581,                0.21886,                0.90577,               0.007129,               0.007129,               0.007129
                     89,                0.99213,                0.20216,                 1.0036,                0.66269,                 0.7971,                0.73704,                0.44411,                 1.2902,                0.21854,                0.89804,               0.007096,               0.007096,               0.007096
                     90,                0.97386,                0.19619,                 1.0219,                0.64582,                0.74638,                0.71902,                0.41248,                  1.437,                0.22939,                0.92557,               0.007063,               0.007063,               0.007063
                     91,                0.99098,                0.20165,                 1.0164,                 0.6879,                0.81884,                0.74968,                0.44889,                 1.4177,                0.21728,                0.90555,                0.00703,                0.00703,                0.00703
                     92,                0.97563,                0.19276,                 1.0172,                0.69806,                0.75362,                0.74034,                0.44169,                 1.4325,                0.21094,                0.89709,               0.006997,               0.006997,               0.006997
                     93,                0.98642,                0.20446,                 1.0133,                0.70119,                 0.7822,                 0.7559,                0.42608,                  1.407,                0.22089,                0.90582,               0.006964,               0.006964,               0.006964
                     94,                0.93707,                0.19026,                 1.0087,                0.68774,                0.71819,                0.71134,                0.43465,                 1.3732,                0.21449,                0.89612,               0.006931,               0.006931,               0.006931
                     95,                0.95437,                0.18996,                0.99484,                0.72716,                0.76087,                0.76143,                0.43097,                 1.3968,                0.21532,                0.89922,               0.006898,               0.006898,               0.006898
                     96,                0.98237,                0.19475,                 1.0241,                0.74617,                0.65217,                0.76158,                0.45699,                 1.4158,                 0.2167,                 0.9042,               0.006865,               0.006865,               0.006865
                     97,                0.94838,                0.20151,                  1.008,                0.73247,                0.67456,                0.75595,                0.45459,                 1.3602,                0.22376,                0.90951,               0.006832,               0.006832,               0.006832
                     98,                0.94486,                0.19838,                0.99798,                 0.7092,                0.73913,                0.75428,                0.42432,                  1.431,                0.22511,                0.90826,               0.006799,               0.006799,               0.006799
                     99,                0.97065,                0.19402,                0.99172,                0.69509,                 0.7599,                0.72224,                0.41301,                 1.4153,                0.21899,                0.91679,               0.006766,               0.006766,               0.006766
                    100,                 0.9435,                0.19095,                 1.0009,                0.73344,                0.81159,                0.78564,                 0.4666,                 1.3829,                0.21218,                 0.9049,               0.006733,               0.006733,               0.006733
                    101,                0.96141,                0.20367,                 1.0044,                0.71453,                0.74365,                0.74912,                0.43379,                 1.4594,                0.21684,                0.90743,                 0.0067,                 0.0067,                 0.0067
                    102,                0.94238,                0.18466,                0.99811,                0.74405,                0.71624,                0.77431,                0.43071,                 1.4221,                0.22139,                 0.9084,               0.006667,               0.006667,               0.006667
